album,similar_album,similar_score,different_album,different_score
Bruce Springsteen - Greetings From Asbury Park N J (1973),Bruce Springsteen - High Hopes (2014),0.844,BTS - Be (2020),0.539
Bruce Springsteen - The Wild The Innocent The E Street Shuffle (1973),Bruce Springsteen - The Ghost Of Tom Joad (1995),0.873,Queen - A Day At The Races (1976),0.412
Bruce Springsteen - Born To Run (1975),BTS - Face Yourself (2018),0.909,Queen - A Day At The Races (1976),0.339
Bruce Springsteen - Darkness On The Edge Of Town (1978),Bruce Springsteen - Lucky Town (1992),0.89,Queen - A Day At The Races (1976),0.378
Bruce Springsteen - The River (1980),Kodak Black - Haitian Boy Kodak (2021),0.843,BTS - Be (2020),0.571
Bruce Springsteen - Nebraska (1982),Bruce Springsteen - Wrecking Ball (2012),0.835,Queen - The Game (1980),0.59
Bruce Springsteen - Born In The U S A (1984),Taylor Swift - Evermore (2020),0.861,BTS - Map Of The Soul 7 The Journey (2020),0.507
Bruce Springsteen - Tunnel Of Love (1987),Queen - Innuendo (1991),0.898,BTS - Map Of The Soul 7 The Journey (2020),0.346
Bruce Springsteen - Human Touch (1992),Kodak Black - Heart Of The Projects (2014),0.874,Queen - A Day At The Races (1976),0.323
Bruce Springsteen - Lucky Town (1992),Bruce Springsteen - Western Stars (2019),0.893,Queen - A Day At The Races (1976),0.443
Bruce Springsteen - The Ghost Of Tom Joad (1995),Taylor Swift - The Life Of A Showgirl (2025),0.877,Queen - A Day At The Races (1976),0.456
Bruce Springsteen - The Rising (2002),Bruce Springsteen - Western Stars (2019),0.912,BTS - Map Of The Soul 7 The Journey (2020),0.411
Bruce Springsteen - Devils Dust (2005),Bruce Springsteen - The River (1980),0.819,Kodak Black - Lil B I G Pac (2016),0.58
Bruce Springsteen - We Shall Overcome The Seeger Sessions (2006),Kodak Black - Project Baby (2013),0.872,Queen - A Day At The Races (1976),0.49
Bruce Springsteen - Magic (2007),Taylor Swift - Fearless (2008),0.895,Queen - A Day At The Races (1976),0.35
Bruce Springsteen - Working On A Dream (2008),Bruce Springsteen - Greetings From Asbury Park N J (1973),0.798,BTS - Be (2020),0.529
Bruce Springsteen - Wrecking Ball (2012),Bruce Springsteen - Nebraska (1982),0.835,Queen - A Day At The Races (1976),0.597
Bruce Springsteen - High Hopes (2014),Kodak Black - Gift For The Streets (2024),0.848,Queen - The Game (1980),0.554
Bruce Springsteen - Western Stars (2019),Bruce Springsteen - The Rising (2002),0.912,Queen - A Day At The Races (1976),0.383
Bruce Springsteen - Letter To You (2020),Taylor Swift - Evermore (2020),0.893,BTS - Map Of The Soul 7 The Journey (2020),0.515
Bruce Springsteen - Only The Strong Survive Covers Vol 1 (2022),Bruce Springsteen - Working On A Dream (2008),0.77,BTS - Map Of The Soul 7 (2020),0.461
BTS - Dark Wild (2014),Kodak Black - Before The Album (2021),0.829,BTS - Be (2020),0.5
BTS - Wake Up (2014),Kodak Black - Bill Israel (2020),0.879,BTS - Map Of The Soul 7 The Journey (2020),0.439
BTS - Wings (2016),Queen - A Night At The Opera (1975),0.95,Queen - A Day At The Races (1976),0.334
BTS - Youth (2016),Taylor Swift - The Tortured Poets Department (2024),0.882,Queen - A Day At The Races (1976),0.392
BTS - Face Yourself (2018),Kodak Black - Kill Bill (2018),0.942,Queen - A Day At The Races (1976),0.357
BTS - Love Yourself Tear (2018),Kodak Black - Before The Album (2021),0.765,Queen - A Day At The Races (1976),0.564
BTS - Bts World Original Soundtrack (2019),Taylor Swift - Taylor Swift Demo (2003),0.914,Queen - A Day At The Races (1976),0.391
BTS - Be (2020),BTS - Map Of The Soul 7 (2020),0.925,Queen - A Day At The Races (1976),0.348
BTS - Map Of The Soul 7 (2020),Queen - A Night At The Opera (1975),0.942,Queen - A Day At The Races (1976),0.351
BTS - Map Of The Soul 7 The Journey (2020),Queen - A Day At The Races (1976),0.807,Kodak Black - Bill Israel (2020),0.313
BTS - Arirang (2026),Kodak Black - Heart Of The Projects (2014),0.83,BTS - Map Of The Soul 7 The Journey (2020),0.513
Kodak Black - Project Baby (2013),Kodak Black - Painting Pictures (2017),0.883,Queen - A Day At The Races (1976),0.509
Kodak Black - Heart Of The Projects (2014),Kodak Black - F E M A (2017),0.915,Queen - A Day At The Races (1976),0.439
Kodak Black - Institution (2015),BTS - Wake Up (2014),0.864,BTS - Map Of The Soul 7 The Journey (2020),0.413
Kodak Black - Lil B I G Pac (2016),Kodak Black - Kill Bill (2018),0.931,Queen - A Day At The Races (1976),0.364
Kodak Black - F E M A (2017),Kodak Black - Heart Of The Projects (2014),0.915,BTS - Map Of The Soul 7 The Journey (2020),0.411
Kodak Black - Painting Pictures (2017),Kodak Black - Project Baby (2013),0.883,Queen - A Day At The Races (1976),0.381
Kodak Black - Project Baby Two (2017),Kodak Black - Trill Bill (2024),0.867,BTS - Be (2020),0.543
Kodak Black - Dying To Live (2018),Taylor Swift - Speak Now Taylor S Version (2023),0.773,Queen - Queen (1973),0.528
Kodak Black - Heart Break Kodak (2018),Taylor Swift - 1989 (2014),0.857,BTS - Map Of The Soul 7 The Journey (2020),0.386
Kodak Black - Kill Bill (2018),BTS - Face Yourself (2018),0.942,Queen - A Day At The Races (1976),0.386
Kodak Black - Bill Israel (2020),Queen - Innuendo (1991),0.907,Queen - A Day At The Races (1976),0.305
Kodak Black - Before The Album (2021),Queen - A Kind Of Magic (1986),0.888,Queen - The Game (1980),0.55
Kodak Black - Haitian Boy Kodak (2021),Taylor Swift - The Life Of A Showgirl (2025),0.868,BTS - Be (2020),0.582
Kodak Black - Back For Everything (2022),Kodak Black - Haitian Boy Kodak (2021),0.802,BTS - Be (2020),0.481
Kodak Black - Kutthroat Bill Vol 1 (2022),Bruce Springsteen - Greetings From Asbury Park N J (1973),0.759,Taylor Swift - 1989 (2014),0.374
Kodak Black - Pistolz Pearlz (2023),Kodak Black - Before The Album (2021),0.859,BTS - Be (2020),0.534
Kodak Black - When I Was Dead (2023),Kodak Black - Trill Bill (2024),0.793,BTS - Youth (2016),0.543
Kodak Black - Dieuson Octave (2024),Kodak Black - Before The Album (2021),0.875,BTS - Map Of The Soul 7 The Journey (2020),0.517
Kodak Black - Gift For The Streets (2024),Taylor Swift - Taylor Swift (2006),0.893,Queen - A Day At The Races (1976),0.42
Kodak Black - Trill Bill (2024),Kodak Black - Project Baby Two (2017),0.867,BTS - Map Of The Soul 7 The Journey (2020),0.55
Kodak Black - Vulture Love Presents The Last Zombies On Earth (2024),Kodak Black - Just Getting Started (2025),0.845,Taylor Swift - Red (2012),0.486
Kodak Black - Just Getting Started (2025),Kodak Black - Vulture Love Presents The Last Zombies On Earth (2024),0.845,BTS - Be (2020),0.481
Kodak Black - Kodak The Blessing (2026),Kodak Black - Project Baby Two (2017),0.799,BTS - Be (2020),0.538
Queen - Queen (1973),Kodak Black - Before The Album (2021),0.773,Queen - The Game (1980),0.506
Queen - Queen Ii (1974),Kodak Black - Pistolz Pearlz (2023),0.736,BTS - Be (2020),0.467
Queen - Sheer Heart Attack (1974),Bruce Springsteen - Greetings From Asbury Park N J (1973),0.767,BTS - Be (2020),0.51
Queen - A Night At The Opera (1975),BTS - Wings (2016),0.95,Queen - A Day At The Races (1976),0.384
Queen - A Day At The Races (1976),BTS - Map Of The Soul 7 The Journey (2020),0.807,Kodak Black - Bill Israel (2020),0.305
Queen - News Of The World (1977),Bruce Springsteen - Western Stars (2019),0.877,Queen - A Day At The Races (1976),0.41
Queen - Jazz (1978),Kodak Black - Haitian Boy Kodak (2021),0.796,BTS - Wings (2016),0.52
Queen - Flash Gordon (1980),Taylor Swift - Fearless (2008),0.826,Queen - A Day At The Races (1976),0.346
Queen - The Game (1980),Kodak Black - Vulture Love Presents The Last Zombies On Earth (2024),0.781,BTS - Map Of The Soul 7 The Journey (2020),0.42
Queen - Hot Space (1982),Taylor Swift - Taylor Swift (2006),0.789,Queen - A Day At The Races (1976),0.483
Queen - The Works (1984),Taylor Swift - Evermore (2020),0.863,BTS - Map Of The Soul 7 The Journey (2020),0.453
Queen - A Kind Of Magic (1986),Kodak Black - Before The Album (2021),0.888,Queen - The Game (1980),0.524
Queen - The Miracle (1989),Kodak Black - Haitian Boy Kodak (2021),0.826,Queen - A Day At The Races (1976),0.444
Queen - Innuendo (1991),Taylor Swift - Fearless (2008),0.912,Queen - A Day At The Races (1976),0.325
Queen - Made In Heaven (1995),Bruce Springsteen - Nebraska (1982),0.789,Taylor Swift - Fearless Taylor S Version (2021),0.5
Taylor Swift - Taylor Swift Demo (2003),BTS - Bts World Original Soundtrack (2019),0.914,Queen - A Day At The Races (1976),0.382
Taylor Swift - Volume Two (2003),Bruce Springsteen - Letter To You (2020),0.862,Queen - A Day At The Races (1976),0.448
Taylor Swift - Taylor Swift (2006),Kodak Black - Gift For The Streets (2024),0.893,Queen - A Day At The Races (1976),0.434
Taylor Swift - Fearless (2008),Queen - Innuendo (1991),0.912,Queen - A Day At The Races (1976),0.359
Taylor Swift - Speak Now (2010),Taylor Swift - The Tortured Poets Department (2024),0.878,Queen - A Day At The Races (1976),0.379
Taylor Swift - Red (2012),Taylor Swift - Red Taylor S Version (2021),0.84,Queen - A Day At The Races (1976),0.364
Taylor Swift - 1989 (2014),Taylor Swift - Fearless (2008),0.885,Queen - A Day At The Races (1976),0.322
Taylor Swift - The Taylor Swift Megamix (2015),Kodak Black - Gift For The Streets (2024),0.886,Queen - A Day At The Races (1976),0.399
Taylor Swift - Reputation (2017),Taylor Swift - The Tortured Poets Department (2024),0.887,Queen - A Day At The Races (1976),0.404
Taylor Swift - Lover (2019),BTS - Bts World Original Soundtrack (2019),0.912,Queen - A Day At The Races (1976),0.369
Taylor Swift - Evermore (2020),Bruce Springsteen - Letter To You (2020),0.893,BTS - Map Of The Soul 7 The Journey (2020),0.484
Taylor Swift - Folklore (2020),Taylor Swift - The Vault Deluxe (2021),0.882,Queen - A Day At The Races (1976),0.398
Taylor Swift - Fearless Taylor S Version (2021),Kodak Black - Gift For The Streets (2024),0.86,Queen - A Day At The Races (1976),0.333
Taylor Swift - Red Taylor S Version (2021),Bruce Springsteen - Western Stars (2019),0.855,Queen - A Day At The Races (1976),0.418
Taylor Swift - The Vault Deluxe (2021),Taylor Swift - Folklore (2020),0.882,Queen - A Day At The Races (1976),0.392
Taylor Swift - Midnights (2022),Queen - A Night At The Opera (1975),0.873,Queen - A Day At The Races (1976),0.386
Taylor Swift - 1989 Taylor S Version (2023),Taylor Swift - 1989 (2014),0.885,BTS - Map Of The Soul 7 The Journey (2020),0.329
Taylor Swift - Speak Now Taylor S Version (2023),Kodak Black - Before The Album (2021),0.832,BTS - Be (2020),0.509
Taylor Swift - The Tortured Poets Department (2024),BTS - Face Yourself (2018),0.919,Queen - A Day At The Races (1976),0.354
Taylor Swift - The Life Of A Showgirl (2025),Kodak Black - Before The Album (2021),0.88,Queen - A Day At The Races (1976),0.502
