artist,album,year,song,energy,danceability,acousticness,tempo
Bruce Springsteen,Greetings From Asbury Park N J,1973,Blinded by the Light,0.67,0.51,0.31,131.0
Bruce Springsteen,Greetings From Asbury Park N J,1973,Spirit in the Night,0.67,0.4,0.34,121.3
Bruce Springsteen,Greetings From Asbury Park N J,1973,Growin' Up,0.66,0.53,0.34,135.6
Bruce Springsteen,The Wild The Innocent The E Street Shuffle,1973,Rosalita,0.73,0.53,0.27,113.9
Bruce Springsteen,The Wild The Innocent The E Street Shuffle,1973,"4th of July, Asbury Park",0.7,0.62,0.32,122.9
Bruce Springsteen,The Wild The Innocent The E Street Shuffle,1973,Incident on 57th Street,0.72,0.4,0.3,128.9
Bruce Springsteen,Born To Run,1975,Born to Run,0.75,0.5,0.35,126.5
Bruce Springsteen,Born To Run,1975,Thunder Road,0.74,0.43,0.36,108.9
Bruce Springsteen,Born To Run,1975,Jungleland,0.47,0.47,0.26,132.8
Bruce Springsteen,Darkness On The Edge Of Town,1978,Badlands,0.73,0.42,0.38,114.0
Bruce Springsteen,Darkness On The Edge Of Town,1978,The Promised Land,0.67,0.5,0.33,132.2
Bruce Springsteen,Darkness On The Edge Of Town,1978,Racing in the Street,0.73,0.55,0.37,128.8
Bruce Springsteen,The River,1980,The River,0.63,0.46,0.29,129.0
Bruce Springsteen,The River,1980,Hungry Heart,0.66,0.71,0.26,113.0
Bruce Springsteen,The River,1980,Out in the Street,0.74,0.63,0.36,132.4
Bruce Springsteen,Nebraska,1982,Atlantic City,0.79,0.51,0.22,118.7
Bruce Springsteen,Nebraska,1982,Nebraska,0.76,0.4,0.32,126.5
Bruce Springsteen,Nebraska,1982,Johnny 99,0.65,0.58,0.36,147.2
Bruce Springsteen,Born In The U S A,1984,Born in the U.S.A.,0.73,0.47,0.28,115.7
Bruce Springsteen,Born In The U S A,1984,Dancing in the Dark,0.76,0.47,0.32,131.5
Bruce Springsteen,Born In The U S A,1984,Glory Days,0.62,0.5,0.19,113.2
Bruce Springsteen,Tunnel Of Love,1987,Brilliant Disguise,0.63,0.55,0.4,123.8
Bruce Springsteen,Tunnel Of Love,1987,Tougher Than the Rest,0.7,0.53,0.4,132.9
Bruce Springsteen,Tunnel Of Love,1987,Tunnel of Love,0.7,0.44,0.38,127.8
Bruce Springsteen,Human Touch,1992,Human Touch,0.78,0.52,0.46,120.4
Bruce Springsteen,Human Touch,1992,Roll of the Dice,0.81,0.53,0.28,112.7
Bruce Springsteen,Human Touch,1992,57 Channels,0.67,0.63,0.38,130.9
Bruce Springsteen,Lucky Town,1992,Better Days,0.49,0.58,0.36,118.5
Bruce Springsteen,Lucky Town,1992,Lucky Town,0.63,0.52,0.44,113.4
Bruce Springsteen,Lucky Town,1992,If I Should Fall Behind,0.65,0.63,0.29,120.4
Bruce Springsteen,The Ghost Of Tom Joad,1995,The Ghost of Tom Joad,0.69,0.42,0.34,111.9
Bruce Springsteen,The Ghost Of Tom Joad,1995,Youngstown,0.75,0.52,0.48,126.8
Bruce Springsteen,The Ghost Of Tom Joad,1995,Sinaloa Cowboys,0.79,0.42,0.31,127.2
Bruce Springsteen,The Rising,2002,The Rising,0.82,0.39,0.39,129.9
Bruce Springsteen,The Rising,2002,Lonesome Day,0.8,0.58,0.32,118.8
Bruce Springsteen,The Rising,2002,Waitin' on a Sunny Day,0.58,0.54,0.31,144.2
Bruce Springsteen,Devils Dust,2005,Devils & Dust,0.63,0.55,0.21,120.0
Bruce Springsteen,Devils Dust,2005,Long Time Comin',0.7,0.59,0.42,123.6
Bruce Springsteen,Devils Dust,2005,Maria's Bed,0.59,0.56,0.36,128.9
Bruce Springsteen,We Shall Overcome The Seeger Sessions,2006,Pay Me My Money Down,0.62,0.61,0.33,131.0
Bruce Springsteen,We Shall Overcome The Seeger Sessions,2006,O Mary Don't You Weep,0.78,0.57,0.34,145.5
Bruce Springsteen,We Shall Overcome The Seeger Sessions,2006,Old Dan Tucker,0.7,0.5,0.33,138.8
Bruce Springsteen,Magic,2007,Radio Nowhere,0.69,0.56,0.4,118.9
Bruce Springsteen,Magic,2007,Girls in Their Summer Clothes,0.54,0.54,0.34,117.9
Bruce Springsteen,Magic,2007,Livin' in the Future,0.75,0.57,0.25,129.2
Bruce Springsteen,Working On A Dream,2008,Working on a Dream,0.66,0.4,0.35,123.5
Bruce Springsteen,Working On A Dream,2008,The Wrestler,0.62,0.56,0.35,118.2
Bruce Springsteen,Working On A Dream,2008,Outlaw Pete,0.71,0.6,0.27,127.8
Bruce Springsteen,Wrecking Ball,2012,We Take Care of Our Own,0.68,0.7,0.19,131.0
Bruce Springsteen,Wrecking Ball,2012,Wrecking Ball,0.66,0.51,0.45,123.9
Bruce Springsteen,Wrecking Ball,2012,Death to My Hometown,0.86,0.48,0.34,119.1
Bruce Springsteen,High Hopes,2014,High Hopes,0.62,0.52,0.3,126.0
Bruce Springsteen,High Hopes,2014,Dream Baby Dream,0.51,0.68,0.31,141.4
Bruce Springsteen,High Hopes,2014,American Skin,0.6,0.54,0.54,115.3
Bruce Springsteen,Western Stars,2019,Hello Sunshine,0.56,0.48,0.35,130.9
Bruce Springsteen,Western Stars,2019,Western Stars,0.78,0.5,0.21,119.6
Bruce Springsteen,Western Stars,2019,Tucson Train,0.78,0.56,0.18,123.6
Bruce Springsteen,Letter To You,2020,Letter to You,0.79,0.69,0.36,127.1
Bruce Springsteen,Letter To You,2020,Ghosts,0.58,0.45,0.32,129.0
Bruce Springsteen,Letter To You,2020,Burnin' Train,0.73,0.48,0.24,116.2
